code,symbol,name,market,num
sh689009,689009,九号公司-WD,沪,689009
sh688981,688981,中芯国际,沪,688981
sh688837,688837,信诺维,沪,688837
sh688836,688836,宇树科技-W,沪,688836
sh688835,688835,高凯技术,沪,688835
sh688828,688828,国仪公司-U,沪,688828
sh688826,688826,频准激光,沪,688826
sh688825,688825,长鑫科技,沪,688825
sh688820,688820,盛合晶微,沪,688820
sh688819,688819,天能股份,沪,688819
sh688818,688818,电科蓝天,沪,688818
sh688816,688816,易思维,沪,688816
sh688813,688813,泰金新能,沪,688813
sh688811,688811,有研复材,沪,688811
sh688809,688809,强一股份,沪,688809
sh688808,688808,联讯仪器,沪,688808
sh688807,688807,优迅股份,沪,688807
sh688806,688806,泰诺麦博-U,沪,688806
sh688805,688805,健信超导,沪,688805
sh688802,688802,沐曦股份-U,沪,688802
