day,open,close,high,low,volume,rise
2025-06-05,7.54,7.52,7.57,7.48,233229,-0.4
2025-06-06,7.53,7.5,7.55,7.48,197487,-0.27
2025-06-09,7.49,7.6,7.6,7.48,369666,1.33
2025-06-10,7.58,7.5,7.63,7.46,329875,-1.32
2025-06-11,7.5,7.59,7.65,7.48,351331,1.2
2025-06-12,7.59,7.53,7.59,7.5,284204,-0.79
2025-06-13,7.5,7.34,7.51,7.32,468690,-2.52
2025-06-16,7.33,7.37,7.39,7.26,550027,0.41
2025-06-17,7.35,7.36,7.38,7.3,315529,-0.14
2025-06-18,7.32,7.3,7.37,7.28,287030,-0.82
2025-06-19,7.27,7.17,7.37,7.15,446552,-1.78
2025-06-20,7.25,7.24,7.4,7.2,552451,0.98
2025-06-23,7.17,7.29,7.31,7.11,402812,0.69
2025-06-24,7.3,7.4,7.41,7.3,390319,1.51
2025-06-25,7.4,7.43,7.44,7.32,428837,0.41
2025-06-26,7.42,7.38,7.51,7.37,463995,-0.67
2025-06-27,7.41,7.46,7.53,7.39,468001,1.08
2025-06-30,7.56,7.68,7.74,7.52,686709,2.95
2025-07-01,7.65,7.59,7.65,7.52,427373,-1.17
2025-07-02,7.68,8.02,8.1,7.64,1495422,5.67
2025-07-03,7.93,7.95,7.99,7.83,792792,-0.87
2025-07-04,8.08,7.89,8.14,7.82,711709,-0.75
2025-07-07,7.84,7.82,7.93,7.8,362608,-0.89
2025-07-08,7.81,8.23,8.34,7.8,1399255,5.24
2025-07-09,8.18,8.17,8.3,8.14,918026,-0.73
2025-07-10,8.12,8.4,8.48,8.12,1584708,2.82
2025-07-11,8.39,8.34,8.43,8.25,857419,-0.71
2025-07-14,8.3,8.35,8.51,8.25,867032,0.12
2025-07-15,8.3,8.18,8.37,8.11,733115,-2.04
2025-07-16,8.16,8.16,8.18,8.04,558927,-0.24
2025-07-17,8.6,8.43,8.79,8.34,1939325,3.31
2025-07-18,8.34,8.36,8.75,8.34,1205089,-0.83
2025-07-21,8.4,8.47,8.54,8.33,816811,1.32
2025-07-22,8.46,8.7,8.78,8.41,1134019,2.72
2025-07-23,8.81,8.56,8.91,8.55,1093239,-1.61
2025-07-24,8.52,8.82,8.83,8.47,933343,3.04
2025-07-25,8.8,8.62,8.81,8.61,602844,-2.27
